document_id,line_id,document_number,date_created,supplier_id,company_id,product_id,boxes_granted,units_granted,measure_unit_id,system_unit_id,system_units_granted,units_calculated,kg_granted
186426,873873,1269705,20170724,508,254,7074,56,448.000,429,3,448.000,1,448
186425,873872,1269704,20170724,508,247,7075,32,256.000,429,3,256.000,1,256
186425,873871,1269704,20170724,508,247,7074,24,192.000,429,3,192.000,1,192
186423,873869,1269702,20170724,508,165,7075,40,320.000,429,3,320.000,1,320
186423,873867,1269702,20170724,508,165,7076,8,64.000,429,3,64.000,1,64
186423,873868,1269702,20170724,508,165,7077,8,64.000,429,3,64.000,1,64
186422,873866,1269701,20170724,508,249,7075,56,448.000,429,3,448.000,1,448
186421,873865,1269700,20170724,199,1,4004,40,400.000,3,3,400.000,1,424
186420,873863,1269699,20170724,508,244,7074,32,256.000,429,3,256.000,1,256
186420,873864,1269699,20170724,508,244,7075,24,192.000,429,3,192.000,1,192
185040,866236,1269114,20170705,508,249,7075,40,320.000,429,3,320.000,1,320
185040,866237,1269114,20170705,508,249,7073,16,128.000,429,3,128.000,1,128
185039,866233,1269113,20170705,508,165,7075,24,192.000,429,3,192.000,1,192
185039,866235,1269113,20170705,508,165,7076,16,128.000,429,3,128.000,1,128
185039,866234,1269113,20170705,508,165,7074,16,128.000,429,3,128.000,1,128
185037,866231,1269111,20170705,199,1,4004,80,800.000,3,3,800.000,1,848
183368,857448,1268406,20170615,508,249,7075,56,448.000,429,3,448.000,1,448
183365,857445,1268403,20170615,508,252,7075,56,448.000,429,3,448.000,1,448
182567,853361,1268043,20170607,199,1,4004,40,400.000,3,3,400.000,1,424
181960,850435,1267822,20170531,508,255,7075,56,448.000,429,3,448.000,1,448
180120,841266,1267074,20170512,199,1,4004,35,350.000,3,3,350.000,1,371
179554,838738,1266837,20170505,508,255,7075,56,448.000,429,3,448.000,1,448
178773,833856,1266566,20170427,199,1,4004,40,400.000,3,3,400.000,1,424
176522,822103,1265621,20170331,508,252,7075,56,448.000,429,3,448.000,1,448
175247,815453,1265135,20170315,508,255,7075,56,448.000,429,3,448.000,1,448
174882,813583,1264943,20170310,199,1,4004,40,400.000,3,3,400.000,1,424
172086,799346,1263783,20170201,508,255,7075,32,256.000,429,3,256.000,1,256
172086,799345,1263783,20170201,508,255,7077,8,64.000,429,3,64.000,1,64
172086,799347,1263783,20170201,508,255,7076,8,64.000,429,3,64.000,1,64
171133,794403,1263368,20170116,199,1,4004,40,400.000,3,3,400.000,1,424
166722,771171,1261545,20161116,508,255,7076,8,64.000,429,3,64.000,1,64
166722,771170,1261545,20161116,508,255,7075,48,384.000,429,3,384.000,1,384
166720,771167,1261543,20161116,199,1,4004,40,400.000,3,3,400.000,1,424
166074,768031,1261236,20161109,199,1,4004,40,400.000,3,3,400.000,1,424
166073,768030,1261235,20161109,199,1,4004,40,400.000,3,3,400.000,1,424
162818,750706,1259882,20160926,508,255,7076,8,64.000,429,3,64.000,1,64
162818,750707,1259882,20160926,508,255,7075,40,320.000,429,3,320.000,1,320
162818,750708,1259882,20160926,508,255,7077,8,64.000,429,3,64.000,1,64
162199,747417,1259583,20160919,199,1,4004,35,350.000,3,3,350.000,1,371
162198,747416,1259582,20160919,199,1,4004,40,400.000,3,3,400.000,1,424
160764,740168,1258955,20160901,199,1,4004,24,240.000,3,3,240.000,1,254.39999999999998
160097,736908,1258686,20160824,199,1,4004,16,160.000,3,3,160.000,1,169.6
159497,733651,1258385,20160818,508,255,7075,56,448.000,429,3,448.000,1,448
158335,726788,1257907,20160803,199,1,4004,40,400.000,3,3,400.000,1,424
157251,721282,1257449,20160721,508,255,7075,56,448.000,429,3,448.000,1,448
157251,721283,1257449,20160721,508,255,7076,8,64.000,429,3,64.000,1,64
153614,702248,1255950,20160609,199,1,4004,35,350.000,3,3,350.000,1,371
153566,702078,1255928,20160608,199,1,4004,40,400.000,3,3,400.000,1,424
151820,692937,1255189,20160519,199,1,4004,35,350.000,3,3,350.000,1,371
150995,688893,1254820,20160509,508,255,7075,56,448.000,429,3,448.000,1,448
149263,679943,1254124,20160419,508,255,7075,56,448.000,429,3,448.000,1,448
146873,667324,1253121,20160317,199,1,4004,35,350.000,3,3,350.000,1,371
141991,643425,1250952,20160111,199,1,4004,40,400.000,3,3,400.000,1,424
140181,634563,1250170,20151214,199,1,4004,80,800.000,3,3,800.000,1,848
139282,629388,1249839,20151202,199,1,4004,40,400.000,3,3,400.000,1,424
139281,629387,1249838,20151202,199,1,4004,40,400.000,3,3,400.000,1,424
138941,627669,1249682,20151127,199,1,4004,40,400.000,3,3,400.000,1,424
136813,617499,1248775,20151029,508,255,7075,112,896.000,429,3,896.000,1,896
135805,612074,1248318,20151014,508,255,7075,56,448.000,429,3,448.000,1,448
135496,610310,1248179,20151008,199,1,4004,40,400.000,3,3,400.000,1,424
133708,601295,1247420,20150916,199,1,4004,40,400.000,3,3,400.000,1,424
133145,598417,1247191,20150909,199,1,4004,40,400.000,3,3,400.000,1,424
131967,592343,1246665,20150826,508,255,7075,56,448.000,429,3,448.000,1,448
130157,583175,1245861,20150805,199,1,4004,40,400.000,3,3,400.000,1,424
129544,579947,1245600,20150727,199,1,4004,35,350.000,3,3,350.000,1,371
128784,576134,1245253,20150717,508,255,7075,56,448.000,429,3,448.000,1,448
128783,576133,1245252,20150717,199,1,4004,40,400.000,3,3,400.000,1,424
126072,562829,1244117,20150618,199,1,4004,48,480.000,3,3,480.000,1,508.79999999999995
123378,550015,1242918,20150514,199,1,4004,40,400.000,3,3,400.000,1,424
122748,546511,1242660,20150508,199,1,4004,35,350.000,3,3,350.000,1,371
119903,532880,1241427,20150401,199,1,4004,35,350.000,3,3,350.000,1,371
118334,524731,1240754,20150313,199,1,4004,35,350.000,3,3,350.000,1,371
114207,505349,1238965,20150115,199,1,4004,40,400.000,3,3,400.000,1,424
68071,302400,1218511,20130723,199,1,4004,35,350.000,3,3,350.000,1,371
61524,274657,1215559,20130510,199,1,4004,35,350.000,3,3,350.000,1,371
61047,272249,1215385,20130507,199,1,4004,36,360.000,3,3,360.000,1,381.59999999999997
60864,271573,1215306,20130506,199,1,4004,36,360.000,3,3,360.000,1,381.59999999999997
60608,270163,1215192,20130502,199,1,4004,35,350.000,3,3,350.000,1,371
49911,225470,1211729,20121218,508,385,7077,2,16.000,429,3,16.000,1,16
49911,225471,1211729,20121218,508,385,7074,2,16.000,429,3,16.000,1,16
49911,225472,1211729,20121218,508,385,7073,2,16.000,429,3,16.000,1,16
49911,225474,1211729,20121218,508,385,7076,2,16.000,429,3,16.000,1,16
49911,225473,1211729,20121218,508,385,7075,2,16.000,429,3,16.000,1,16
49910,225469,1211728,20121218,508,385,7073,1,8.000,429,3,8.000,1,8
49909,225468,1211727,20121218,199,1,4004,36,360.000,3,3,360.000,1,381.59999999999997
49908,225467,1211726,20121218,199,1,4004,36,360.000,3,3,360.000,1,381.59999999999997
49905,225463,1211723,20121218,199,1,4004,72,720.000,3,3,720.000,1,763.1999999999999
29303,137680,122638,20120404,199,1,4004,36,360.000,3,3,360.000,1,381.59999999999997
